vc_stage,code,freq,sentiment,weight,stage_freq
hr_mgmt,숙련인력_전승,11,11,1.1,11
inbound_logistics,수급_불안정,9,-9,1.0,22
inbound_logistics,조달_공급_안정화,13,13,1.1,22
infrastructure,정책_지원_미흡,13,-13,1.0,32
infrastructure,클러스터_네트워킹,6,6,1.0,32
infrastructure,표준_인증_체계,13,13,1.0,32
marketing_sales,OEM_ODM_거래,2,0,1.0,23
marketing_sales,가격_변동성,8,-8,1.0,23
marketing_sales,수출_해외시장,2,2,1.0,23
marketing_sales,온라인_브랜딩_역량,11,11,1.0,23
operations,가공_기술,13,13,1.1,18
operations,품질_검사_등급제,5,5,1.0,18
outbound_logistics,유통_출고_물류,1,0,1.0,1
service,서비스_AS_유지보수,4,0,1.0,4
tech_dev,고부가_제품_개발,1,1,1.2,42
tech_dev,기술개발_RnD,19,19,1.1,42
tech_dev,친환경_지속가능,22,22,1.0,42
